Omni Los Angeles Hotel at California Plaza		2013-10-15	4	I stayed once at this hotel and was completely satisfied, so booked again. Im meeting my son there. He comes in at 6am, myself 6 pm. When I called the hotel to ask a few questions including could he check in earlier, the response was "I can not help you, you booked through a 3rd party". Even when I asked how full the hotel was, I got the same response and I must say, NOT in a nice tone. Omni, get someone to take your calls. This rep will scare people away.	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2013-10-13	4	I stayed here during a multi day photography shoot. The location was perfect for most downtown scenes. The comfort and extra friendly staff made things even better. I recommend this hotel for any business traveler.   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2013-09-30	5	The hotel is centrally located near many hot spots and provided great service at the valet, check in, room service and restaurant.   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2013-09-30	4	I was very impressed with the staff. From the valet guys and doormen, to the concierge and front desk, everyone was super polite and genuinely looked like they cared about making my stay an enjoyable visit.   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2013-09-17	5	Enjoyed our first time stay at the Omni, downtown LA. Impressed that we were allowed to bring our small dog with us.   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2013-09-11	4	Wonderful weekend stay. Great service from every single person we encountered. Very comfy bed and sheets, very clean, very private. Just wish parking wasn't so expensive... I hope my car had just as great a stay. Was tough to get into the valet parking circle around 10 pm on a Friday night, but once they saw we were a guest, they let us leave it in the back of the pack and took care of it from there.	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2013-09-09	5	It was the most incredible deal in my whole life!!!!!   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2013-07-15	5	Our room overlooked the Walt Disney Concert Hall which delighted us every time we looked out the window. Although traffic from the Getty to the hotel was congested, getting to our other destinations was not. Valet parking was wonderful and we did not have any wait for our car longer than 3 or 4 minutes. Our encounters with the staff were all positive.	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2013-06-24	4	Have stayed here several times and we always have a good experience.   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2013-06-08	4	Hotel was close enough to Staples Center that we could walk. Hotel had a nice bar open late so we could relax and have a drink after game. Room was nice size and clean. Also had lunch at hotel and food was and service was good. I would go back.   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
